x,y
52.0,56.0
42.0,53.0
50.0,58.0
33.0,66.33333333333333
47.0,66.0
47.0,57.333333333333336
48.0,52.5
50.5,63.0
41.0,52.0
48.0,66.5
53.0,55.0
45.0,66.0
32.0,67.0
49.0,65.5
45.333333333333336,54.666666666666664
45.0,50.5
49.75,53.75
64.0,21.0
49.0,52.5
42.0,56.0
49.5,64.5
51.0,57.0
39.0,56.5
48.0,51.5
43.0,54.333333333333336
48.333333333333336,53.0
49.0,67.0
43.5,55.5
48.25,63.25
37.0,60.0
43.0,68.0
50.0,58.0
46.0,53.6
52.0,55.0
47.0,63.5
50.0,54.0
47.0,65.0
49.0,58.0
40.75,55.25
50.0,57.25
39.5,56.5
41.0,51.0
49.0,63.5
40.0,53.0
49.0,52.5
30.5,70.5
49.0,57.0
46.0,50.0
32.0,69.0
44.333333333333336,52.666666666666664
48.5,65.0
36.0,62.0
46.5,54.0
41.5,50.5
47.666666666666664,53.666666666666664
49.5,62.5
48.5,54.0
40.5,54.0
47.0,52.0
46.5,59.5
42.0,52.333333333333336
45.0,67.0
50.0,51.5
43.0,53.666666666666664
54.0,58.0
48.0,57.0
37.0,60.0
48.5,51.0
55.0,58.0
42.333333333333336,54.0
45.5,50.5
46.5,59.0
48.0,51.0
30.0,72.0
49.0,54.666666666666664
34.0,65.0
49.0,51.5
38.5,56.5
54.0,58.0
45.5,51.0
46.0,61.0
42.666666666666664,52.666666666666664
48.333333333333336,62.333333333333336
35.0,63.0
41.5,52.5
44.5,66.0
26.0,78.0
47.5,56.5
41.0,55.0
45.5,53.0
36.5,60.0
42.75,52.25
48.0,56.0
38.75,55.75
45.666666666666664,64.66666666666667
50.0,51.0
43.25,53.25
48.166666666666664,52.666666666666664
43.0,53.0
47.5,59.5
42.0,54.0
47.666666666666664,62.0
39.0,72.0
45.0,52.5
40.5,70.0
50.0,60.0
44.5,50.75
44.0,66.5
40.0,54.0
45.0,66.0
44.5,52.5
52.0,62.0
48.5,54.0
40.0,51.0
46.5,54.0
31.0,90.0
45.5,53.5
39.5,55.5
54.0,59.0
44.0,53.0
48.0,50.0
40.5,53.5
47.5,63.0
45.5,53.0
48.5,61.5
49.0,55.5
41.0,69.0
48.0,53.5
36.5,60.5
46.5,60.0
44.0,54.5
49.0,51.5
44.0,53.0
51.0,54.0
44.5,53.0
49.0,55.5
39.75,53.25
45.5,65.0
46.0,50.5
51.0,62.0
35.5,63.0
47.5,59.0
42.5,51.0
46.0,65.0
38.0,71.0
40.0,53.5
33.0,64.0
44.0,52.333333333333336
49.0,53.0
49.0,63.5
45.25,52.75
54.0,54.0
46.0,65.0
45.333333333333336,52.333333333333336
61.0,49.0
35.5,62.0
46.25,57.5
39.0,55.0
45.333333333333336,64.66666666666667
42.5,50.0
32.0,66.0
46.5,51.833333333333336
43.0,67.0
49.0,51.5
38.5,54.0
48.5,53.0
41.5,51.0
37.0,65.0
41.5,51.0
41.0,67.0
46.333333333333336,59.0
47.0,50.0
39.5,71.0
46.0,51.0
48.0,61.0
38.5,54.0
46.0,56.0
44.0,64.5
41.0,49.0
46.857142857142854,53.285714285714285
41.333333333333336,53.0
39.0,71.0
45.0,55.0
39.0,52.0
44.5,51.5
30.0,70.0
48.0,55.0
37.5,58.0
46.5,61.5
46.666666666666664,52.666666666666664
29.0,73.0
41.5,50.5
42.0,66.0
15.0,51.0
41.0,54.0
48.0,53.5
39.0,71.5
45.5,51.5
40.0,55.0
48.0,59.0
40.0,52.0
47.666666666666664,53.0
8.0,69.0
48.0,64.0
40.0,74.0
47.5,56.5
47.0,65.0
43.0,53.5
27.0,76.0
43.0,55.25
28.0,71.0
49.5,53.0
40.0,51.5
46.5,57.0
36.0,58.0
49.0,51.5
32.0,66.0
46.5,52.0
38.5,53.0
44.5,50.5
47.0,56.5
46.0,51.0
49.0,57.0
37.5,55.5
39.0,73.0
46.0,51.75
41.0,50.0
46.0,54.5
41.0,65.0
47.5,63.5
41.0,51.0
49.0,54.0
15.0,51.0
46.5,51.5
45.0,61.0
42.333333333333336,52.333333333333336
49.0,55.0
42.5,53.5
39.0,69.0
48.0,55.5
52.0,70.0
46.0,52.333333333333336
49.0,60.0
40.0,52.333333333333336
47.0,63.0
40.5,52.0
34.0,63.0
41.0,54.666666666666664
48.0,57.0
46.5,64.0
45.0,55.5
47.5,64.0
48.0,53.0
46.5,62.0
47.5,52.5
39.0,50.0
39.5,54.0
44.6,53.0
48.333333333333336,61.0
38.5,52.5
45.5,57.5
42.75,51.0
42.0,66.0
44.666666666666664,51.666666666666664
46.0,63.333333333333336
50.0,52.0
42.0,51.666666666666664
35.0,60.0
50.0,58.0
43.5,53.5
47.4,55.2
41.0,53.0
47.0,62.0
47.5,54.5
53.0,69.0
44.0,55.5
69.0,57.0
41.0,51.75
87.0,44.0
